,Lat,Lon,sst_Summer
425,-88.5,-114.5,-1.7999996
426,-88.5,-113.5,-1.7999996
427,-88.5,-112.5,-1.7999996
428,-88.5,-111.5,-1.7999996
429,-88.5,-110.5,-1.7999996
430,-88.5,-109.5,-1.7999996
431,-88.5,-108.5,-1.7999996
432,-88.5,-107.5,-1.7999996
433,-88.5,-106.5,-1.7999996
434,-88.5,-105.5,-1.7999996
435,-88.5,-104.5,-1.7999996
436,-88.5,-103.5,-1.7999996
437,-88.5,-102.5,-1.7999996
438,-88.5,-101.5,-1.7999996
439,-88.5,-100.5,-1.7999996
440,-88.5,-99.5,-1.7999996
441,-88.5,-98.5,-1.7999996
442,-88.5,-97.5,-1.7999996
443,-88.5,-96.5,-1.7999996
444,-88.5,-95.5,-1.7999996
445,-88.5,-94.5,-1.7999996
446,-88.5,-93.5,-1.7999996
447,-88.5,-92.5,-1.7999996
448,-88.5,-91.5,-1.7999996
449,-88.5,-90.5,-1.7999996
450,-88.5,-89.5,-1.7999996
451,-88.5,-88.5,-1.7999996
452,-88.5,-87.5,-1.7999996
453,-88.5,-86.5,-1.7999996
454,-88.5,-85.5,-1.7999996
455,-88.5,-84.5,-1.7999996
456,-88.5,-83.5,-1.7999996
457,-88.5,-82.5,-1.7999996
458,-88.5,-81.5,-1.7999996
459,-88.5,-80.5,-1.7999996
460,-88.5,-79.5,-1.7999996
461,-88.5,-78.5,-1.7999996
462,-88.5,-77.5,-1.7999996
463,-88.5,-76.5,-1.7999996
464,-88.5,-75.5,-1.7999996
465,-88.5,-74.5,-1.7999996
466,-88.5,-73.5,-1.7999996
467,-88.5,-72.5,-1.7999996
468,-88.5,-71.5,-1.7999996
469,-88.5,-70.5,-1.7999996
470,-88.5,-69.5,-1.7999996
471,-88.5,-68.5,-1.7999996
472,-88.5,-67.5,-1.7999996
473,-88.5,-66.5,-1.7999996
474,-88.5,-65.5,-1.7999996
475,-88.5,-64.5,-1.7999996
476,-88.5,-63.5,-1.7999996
477,-88.5,-62.5,-1.7999996
478,-88.5,-61.5,-1.7999996
479,-88.5,-60.5,-1.7999996
480,-88.5,-59.5,-1.7999996
481,-88.5,-58.5,-1.7999996
482,-88.5,-57.5,-1.7999996
483,-88.5,-56.5,-1.7999996
484,-88.5,-55.5,-1.7999996
485,-88.5,-54.5,-1.7999996
486,-88.5,-53.5,-1.7999996
487,-88.5,-52.5,-1.7999996
488,-88.5,-51.5,-1.7999996
489,-88.5,-50.5,-1.7999996
490,-88.5,-49.5,-1.7999996
491,-88.5,-48.5,-1.7999996
492,-88.5,-47.5,-1.7999996
493,-88.5,-46.5,-1.7999996
494,-88.5,-45.5,-1.7999996
495,-88.5,-44.5,-1.7999996
496,-88.5,-43.5,-1.7999996
497,-88.5,-42.5,-1.7999996
498,-88.5,-41.5,-1.7999996
499,-88.5,-40.5,-1.7999996
500,-88.5,-39.5,-1.7999996
501,-88.5,-38.5,-1.7999996
502,-88.5,-37.5,-1.7999996
503,-88.5,-36.5,-1.7999996
504,-88.5,-35.5,-1.7999996
505,-88.5,-34.5,-1.7999996
506,-88.5,-33.5,-1.7999996
507,-88.5,-32.5,-1.7999996
508,-88.5,-31.5,-1.7999996
509,-88.5,-30.5,-1.7999996
510,-88.5,-29.5,-1.7999996
511,-88.5,-28.5,-1.7999996
512,-88.5,-27.5,-1.7999996
513,-88.5,-26.5,-1.7999996
514,-88.5,-25.5,-1.7999996
515,-88.5,-24.5,-1.7999996
516,-88.5,-23.5,-1.7999996
517,-88.5,-22.5,-1.7999996
518,-88.5,-21.5,-1.7999996
519,-88.5,-20.5,-1.7999996
520,-88.5,-19.5,-1.7999996
521,-88.5,-18.5,-1.7999996
522,-88.5,-17.5,-1.7999996
523,-88.5,-16.5,-1.7999996
524,-88.5,-15.5,-1.7999996
525,-88.5,-14.5,-1.7999996
526,-88.5,-13.5,-1.7999996
527,-88.5,-12.5,-1.7999996
528,-88.5,-11.5,-1.7999996
529,-88.5,-10.5,-1.7999996
530,-88.5,-9.5,-1.7999996
531,-88.5,-8.5,-1.7999996
532,-88.5,-7.5,-1.7999996
533,-88.5,-6.5,-1.7999996
534,-88.5,-5.5,-1.7999996
535,-88.5,-4.5,-1.7999996
536,-88.5,-3.5,-1.7999996
537,-88.5,-2.5,-1.7999996
538,-88.5,-1.5,-1.7999996
539,-88.5,-0.5,-1.7999996
540,-88.5,0.5,-1.7999996
541,-88.5,1.5,-1.7999996
542,-88.5,2.5,-1.7999996
543,-88.5,3.5,-1.7999996
544,-88.5,4.5,-1.7999996
545,-88.5,5.5,-1.7999996
546,-88.5,6.5,-1.7999996
547,-88.5,7.5,-1.7999996
548,-88.5,8.5,-1.7999996
549,-88.5,9.5,-1.7999996
550,-88.5,10.5,-1.7999996
551,-88.5,11.5,-1.7999996
552,-88.5,12.5,-1.7999996
553,-88.5,13.5,-1.7999996
554,-88.5,14.5,-1.7999996
555,-88.5,15.5,-1.7999996
556,-88.5,16.5,-1.7999996
557,-88.5,17.5,-1.7999996
558,-88.5,18.5,-1.7999996
559,-88.5,19.5,-1.7999996
560,-88.5,20.5,-1.7999996
561,-88.5,21.5,-1.7999996
562,-88.5,22.5,-1.7999996
563,-88.5,23.5,-1.7999996
564,-88.5,24.5,-1.7999996
565,-88.5,25.5,-1.7999996
566,-88.5,26.5,-1.7999996
567,-88.5,27.5,-1.7999996
568,-88.5,28.5,-1.7999996
569,-88.5,29.5,-1.7999996
570,-88.5,30.5,-1.7999996
571,-88.5,31.5,-1.7999996
572,-88.5,32.5,-1.7999996
573,-88.5,33.5,-1.7999996
574,-88.5,34.5,-1.7999996
575,-88.5,35.5,-1.7999996
576,-88.5,36.5,-1.7999996
577,-88.5,37.5,-1.7999996
578,-88.5,38.5,-1.7999996
579,-88.5,39.5,-1.7999996
580,-88.5,40.5,-1.7999996
581,-88.5,41.5,-1.7999996
582,-88.5,42.5,-1.7999996
583,-88.5,43.5,-1.7999996
584,-88.5,44.5,-1.7999996
585,-88.5,45.5,-1.7999996
586,-88.5,46.5,-1.7999996
587,-88.5,47.5,-1.7999996
588,-88.5,48.5,-1.7999996
589,-88.5,49.5,-1.7999996
590,-88.5,50.5,-1.7999996
